spikein,1071D,1071E,1071G,1071H,1071I,1071P,1071Q,1071X,1072B,1071T,1072C,1072G,1072L,1075E,1075F,1071R,1071S,1071U,1071V,1071W,1050B,1050C,1052C,1052I,1053D,1050Q,1052O,1053K,1053L,1053M,1052E,1052F,1059A,1059H,1050F,1050J,1050M,1050N,1050O,1050P,1057A,1057B,1057D,1056E,1066D,1048H,1048I,1048K,1056G,1056H,1048N,1048R,1056A,1065B,1065D,1048E,1048J,1048L,1056I,1056K
ERCC_00143,0,1,2,3,3,0,3,7,2,0,0,0,0,1,1,1,1,1,1,4,0,1,1,0,4,5,2,1,1,4,4,0,0,2,2,0,2,4,2,1,3,2,1,4,0,1,2,1,1,4,1,1,2,2,2,1,1,0,2,0
ERCC_00144,2,2,1,2,2,4,2,0,2,2,1,6,6,8,10,18,7,13,5,7,3,0,3,1,2,2,3,1,2,1,23,14,3,12,5,7,4,8,6,13,4,3,2,5,2,3,2,1,3,4,12,8,9,10,11,6,6,6,10,4
ERCC_00145,423,583,486,409,664,194,582,670,469,439,123,278,246,245,344,644,230,320,425,436,351,496,763,284,688,1015,1178,687,627,656,551,496,235,326,282,455,249,401,258,292,1138,598,520,700,348,945,527,318,511,629,488,285,353,353,492,297,481,454,395,412
ERCC_00147,0,0,0,1,0,0,1,1,3,0,1,2,0,2,2,4,2,3,2,3,2,0,1,0,0,0,1,0,2,0,3,3,2,1,0,3,2,3,2,2,2,0,0,1,3,3,0,0,1,0,4,3,0,1,2,1,3,3,2,0
ERCC_00148,2,4,2,4,3,2,4,1,3,1,0,2,4,3,3,2,1,0,6,5,1,4,6,2,8,8,10,2,2,6,7,4,3,3,2,3,5,2,1,1,11,3,0,1,2,16,1,2,2,2,5,3,5,1,4,3,4,13,6,2
ERCC_00150,0,4,3,5,3,0,1,2,1,1,0,3,0,0,1,3,2,0,0,2,4,0,1,1,7,2,5,4,2,1,1,1,2,1,0,2,0,2,1,2,4,0,3,0,0,0,1,1,0,1,7,0,1,0,2,2,0,1,1,1
ERCC_00154,2,3,2,2,2,1,2,3,1,1,0,2,4,6,11,6,4,5,3,9,0,1,2,0,1,3,5,1,2,1,4,7,3,4,7,3,4,4,5,3,3,4,0,2,1,2,2,2,2,0,4,5,1,2,7,4,5,7,2,7
ERCC_00156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ERCC_00157,6,7,9,2,10,3,6,8,3,6,1,1,3,2,3,5,0,2,3,4,6,5,5,2,9,13,7,6,4,4,5,5,4,3,4,6,1,4,4,0,12,8,9,9,3,14,9,5,6,12,10,4,5,5,4,4,6,5,10,8
ERCC_00158,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,3,0,1,1,1,0,1,1,0,1,0,2,6,0,1,0,1,1,0,0,0,0,0,3,0,2,0,2,1,0,2,1,1,0,0,0,0,0,0,2,2,1,1,0,0
ERCC_00160,11,15,16,9,18,9,15,18,22,11,4,7,3,10,6,19,8,6,5,10,7,9,33,9,27,31,36,24,14,20,19,15,5,10,6,7,2,7,5,6,33,21,7,26,6,25,13,6,18,15,9,4,6,9,10,6,12,11,3,12
ERCC_00162,55,81,53,47,74,27,59,66,48,26,9,44,33,28,38,78,26,44,37,57,41,51,77,37,53,134,85,77,74,80,54,55,33,40,29,51,26,40,29,37,132,56,52,77,57,116,56,54,53,69,58,46,31,45,75,40,52,55,44,60
ERCC_00163,9,8,10,10,15,2,15,13,11,11,1,6,2,2,12,9,3,5,13,8,6,14,16,4,19,22,39,17,15,15,12,4,4,8,4,8,4,2,3,6,30,10,4,22,5,23,18,6,13,15,5,4,8,12,13,6,6,7,3,6
ERCC_00164,3,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,1,2,1,1,4,0,1,0,1,0,2,0,1,0,1,0,2,0,0,1,1,1,1,0,3,0,1,0,1,0,0,1,0,1,2,1,1,1,1
ERCC_00165,21,27,49,23,27,9,34,47,38,27,5,12,10,7,10,34,18,18,23,20,28,28,44,23,58,54,78,36,46,38,30,28,8,21,10,23,5,17,9,6,80,25,31,41,13,68,31,26,33,29,27,7,17,22,23,8,20,19,10,23
ERCC_00168,1,2,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,3,1,1,0,3,4,2,2,1,1,1,0,2,0,0,1,2,5,1,1
ERCC_00170,4,8,5,5,8,1,4,8,4,6,8,20,16,18,27,48,21,11,38,37,6,9,14,1,3,9,13,7,7,6,29,23,10,28,22,39,17,25,16,20,14,9,10,4,4,13,5,5,3,4,46,18,19,20,31,19,41,33,29,33
ERCC_00171,1093,1846,1984,1736,2382,731,1742,2083,1413,1348,640,1372,1345,1320,1884,3123,1137,1633,2234,2452,1421,1836,2615,879,2829,3657,5306,2514,2172,2208,2750,2770,1112,1765,1266,2105,1064,1912,1297,1423,3747,1924,1873,2450,1150,3518,1815,1266,1878,2009,2271,1303,1829,1974,2350,1295,1932,2155,1684,1915
